Date,value,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,value_lag_6,value_lag_7
2002-11-19,0.014347453,0.013256306,0.013843692,0.014055105,0.013023727,0.012524577,0.011305717,0.012164954
2002-11-26,0.012543299,0.014347453,0.013256306,0.013843692,0.014055105,0.013023727,0.012524577,0.011305717
2002-12-03,0.012575701,0.012543299,0.014347453,0.013256306,0.013843692,0.014055105,0.013023727,0.012524577
2002-12-10,0.01580172,0.012575701,0.012543299,0.014347453,0.013256306,0.013843692,0.014055105,0.013023727
2002-12-17,0.019800814,0.01580172,0.012575701,0.012543299,0.014347453,0.013256306,0.013843692,0.014055105
2002-12-24,0.019042835,0.019800814,0.01580172,0.012575701,0.012543299,0.014347453,0.013256306,0.013843692
2003-01-01,0.015901037,0.019042835,0.019800814,0.01580172,0.012575701,0.012543299,0.014347453,0.013256306
2003-01-08,0.018155906,0.015901037,0.019042835,0.019800814,0.01580172,0.012575701,0.012543299,0.014347453
2003-01-15,0.02418006,0.018155906,0.015901037,0.019042835,0.019800814,0.01580172,0.012575701,0.012543299
2003-01-22,0.028663516,0.02418006,0.018155906,0.015901037,0.019042835,0.019800814,0.01580172,0.012575701
2003-01-29,0.031666199,0.028663516,0.02418006,0.018155906,0.015901037,0.019042835,0.019800814,0.01580172
2003-02-05,0.030155013,0.031666199,0.028663516,0.02418006,0.018155906,0.015901037,0.019042835,0.019800814
2003-02-12,0.029978018,0.030155013,0.031666199,0.028663516,0.02418006,0.018155906,0.015901037,0.019042835
2003-02-19,0.023195674,0.029978018,0.030155013,0.031666199,0.028663516,0.02418006,0.018155906,0.015901037
2003-02-26,0.019470661,0.023195674,0.029978018,0.030155013,0.031666199,0.028663516,0.02418006,0.018155906
2003-03-05,0.017298524,0.019470661,0.023195674,0.029978018,0.030155013,0.031666199,0.028663516,0.02418006
2003-03-12,0.015183709,0.017298524,0.019470661,0.023195674,0.029978018,0.030155013,0.031666199,0.028663516
2003-03-19,0.012261642,0.015183709,0.017298524,0.019470661,0.023195674,0.029978018,0.030155013,0.031666199
2003-03-26,0.010543335,0.012261642,0.015183709,0.017298524,0.019470661,0.023195674,0.029978018,0.030155013
